Number of Wells,Number of Connections,Pipeline Diameter,Pipeline Length,p2,p4,p6,p8,p10,p12,NPV,tot_co2_gen
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.679558658914,4365.4930376302555
5.000000014901161,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.67956399676,4365.4930376302555
5.0,2.000000014901161,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.67952616966,4365.493070155712
5.0,2.0,12.000000014901161,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.679559255408,4365.4930376302555
5.0,2.0,12.0,28000.0000000149,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.67955865889,4365.4930376302555
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.679558658914,4365.4930376302555
5.0,2.0,12.0,28000.0,150,1799.9999999850988,3200.0,4800.0,5500.0,7000.0,17857.679558661726,4365.493037624711
5.0,2.0,12.0,28000.0,150,1800.0,3199.999999985099,4800.0,5500.0,7000.0,17857.67955865902,4365.493037626407
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4799.999999985099,5500.0,7000.0,17857.67955865902,4365.493037632466
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.000000014901,7000.0,17857.67955865895,4365.4930376301845
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,6999.999999985099,17857.679558658965,4365.493037630155
