,Number of Wells,Number of Connections,Mass Flow Rate,Pipeline Diameter,Pipeline Length,p2,p4,p6,p8,p10,p12,NPV,mtot,CAPEX_total
0,5,2,5,4,55000,900,1800,3200,4400,6000,7000,17705.671499052496,0.15768,1516279600.1627033
1,5,1,15,12,1000,500,1800,3200,4400,6000,6500,5808.478503185984,0.47304,2713264541.2168508
2,5,3,1,4,28000,900,1800,2300,4800,5500,7000,20793.49913202533,0.031536,314344471.3369407
3,20,1,1,12,55000,500,1300,2300,4800,5000,6000,21038.843140766654,0.031536,191447359.6259272
4,5,2,5,4,1000,900,1800,3200,3800,5000,7000,17638.975411759722,0.15768,1563311753.6113703
5,5,1,5,12,1000,500,900,2800,3800,6000,7000,18511.995110262505,0.15768,947434822.4604154
6,20,3,1,12,28000,900,1800,2800,4400,5000,7000,21041.535053109874,0.031536,189596611.83788484
7,20,3,1,12,55000,900,900,2800,4800,5500,6000,21027.111244666015,0.031536,199771520.20768154
8,20,3,15,12,1000,900,900,2300,4800,6000,6000,16454.96368959194,0.47304,2826485543.79138
9,20,3,5,12,28000,900,900,3200,4400,5000,6000,19792.548475351497,0.15768,993614874.1831291
10,20,2,5,20,1000,500,900,2300,4800,6000,7000,19870.702058696526,0.15768,938459374.3718722
11,5,3,5,20,1000,700,1800,3200,3800,5000,7000,18579.474053131737,0.15768,899881713.7654979
12,20,2,15,12,1000,500,1300,2800,4800,6000,6000,16577.736842604954,0.47304,2739854304.7786303
13,5,3,5,20,28000,900,1300,3200,4800,5500,6000,18555.510083682555,0.15768,916786485.7798291
14,20,2,1,20,1000,500,1800,3200,4800,6000,6500,21041.554662790968,0.031536,189558734.09521195
15,5,3,5,20,55000,700,1800,3200,4400,6000,7000,18571.781678800176,0.15768,905308103.3542398
16,20,3,5,12,1000,900,1800,3200,4800,6000,7000,19921.963038226237,0.15768,902322666.2969565
17,10,1,5,20,28000,900,1800,3200,3800,6000,7000,19629.023188109426,0.15768,904712556.6973075
18,10,2,1,12,1000,700,1800,3200,3800,6000,6000,21024.639202097645,0.031536,190064775.53614506
19,10,3,15,20,55000,900,1800,2800,4800,5000,7000,14162.31867300657,0.47304,2834794313.0617633
20,20,2,15,12,28000,700,900,2800,4800,5500,6500,14189.393936863446,0.47304,4424650569.767841
21,10,1,5,20,1000,900,1800,3200,4400,5500,7000,19636.98130913527,0.15768,899098702.8702283
22,10,2,5,12,1000,700,1300,2300,4400,6000,7000,19629.196453663302,0.15768,904614479.5579119
23,20,3,15,12,55000,900,1800,2300,3800,5500,7000,14057.966477613352,0.47304,4517446699.154012
24,20,3,15,12,28000,900,1300,2300,4800,5000,6500,14148.793014538569,0.47304,4453315501.127002
25,20,3,1,12,1000,900,1300,2800,4800,6000,6500,21039.17097023,0.031536,191264293.90499985
26,20,3,5,12,55000,900,1300,3200,3800,5500,6500,19795.060741446803,0.15768,991842660.0401222
27,20,1,5,4,1000,700,1300,2800,4800,6000,7000,19039.588450194282,0.15768,1524726424.1880877
28,10,3,5,4,1000,500,1800,3200,4400,5500,7000,18695.96353112425,0.15768,1562967192.2569008
29,20,1,1,12,1000,700,900,2300,4800,6000,6500,21031.054644262193,0.031536,196941556.15382174
30,10,3,5,4,55000,900,900,3200,4800,5000,6500,18810.546499414504,0.15768,1482154458.0302114
31,20,1,15,4,1000,700,1800,3200,4800,6000,6000,14039.305047971287,0.47304,4530562736.262687
32,10,3,5,4,28000,500,1800,3200,3800,6000,7000,18758.66603214258,0.15768,1518752212.5503457
