,Number of Wells,Number of Connections,Pipeline Diameter,Pipeline Length,p2,p4,p6,p8,p10,p12,NPV
0,5,2,12,28000,700,1800,3200,4800,5500,7000,1301.8237095424372
1,5,1,4,1000,900,900,3200,4800,5500,7000,5.632476102642421
2,5,3,20,28000,500,1800,3200,3800,6000,6500,2552.497574598679
3,20,1,20,1000,700,900,2800,3800,6000,6000,-30.691045945477704
4,5,2,12,28000,900,1800,3200,4800,5000,6000,1301.700929182614
5,5,1,12,1000,900,900,2300,4400,5000,7000,-24.441648631183142
6,20,3,20,1000,500,1800,3200,4400,5500,6000,2442.684937664706
7,20,3,20,1000,700,1800,2300,4400,6000,6500,2449.340080893104
8,20,3,4,1000,900,1800,2300,3800,6000,7000,2576.1225103948136
9,20,3,12,1000,500,1800,2300,4800,5500,6000,2456.922449557309
10,20,2,12,55000,900,900,2300,3800,6000,7000,1074.1908372104763
11,5,3,12,55000,900,1300,3200,4800,5000,6000,2434.7606128828147
12,20,2,4,1000,900,900,2800,4400,6000,7000,1141.171404550848
13,5,3,12,55000,500,1800,2800,4800,6000,6500,2570.239329311025
14,20,2,20,55000,900,900,3200,4800,6000,7000,1099.9712571429275
15,5,3,12,55000,700,1300,3200,4800,5500,7000,2434.9447834225502
16,20,3,12,1000,900,1800,3200,4800,6000,7000,2446.8265209249334
17,10,1,12,55000,500,1800,3200,4800,5000,7000,58.623487810154906
18,10,2,20,1000,900,1300,3200,4800,5000,7000,1170.1564053620807
19,10,3,4,55000,700,1800,3200,4400,6000,6000,6170.422894471917
20,20,2,4,1000,500,1300,2300,4400,6000,6500,1203.0438807870273
21,10,1,12,55000,900,1800,3200,4800,5500,6500,56.8884901197295
22,10,2,12,1000,900,1300,2800,3800,5500,7000,1155.8981342573124
23,20,3,4,1000,700,1800,3200,3800,5000,6500,2573.695734304469
24,20,3,4,1000,500,1800,2800,3800,6000,6000,2575.268346857293
25,20,3,20,1000,900,1800,2800,4400,6000,7000,2441.5108769014046
26,20,3,12,1000,700,1800,2800,4800,5000,6500,2446.796363519569
27,20,1,12,28000,900,1300,2800,4400,6000,7000,2.718460482305856
28,10,3,12,28000,900,900,3200,4800,5500,6500,2254.790686477514
29,20,1,20,1000,900,1300,2300,3800,6000,7000,-2.0798213121145004
30,10,3,12,28000,700,1800,2300,4800,6000,6000,2492.0141425493434
31,20,1,4,28000,900,1300,3200,4800,6000,7000,412.9867388858437
32,10,3,12,28000,500,900,3200,4800,5000,7000,2259.9956795487883
